Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical","Serious,Critical/1M pop",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Active case/1M pop,WHO Region
Moldova,Europe,4032983,26628,,828,,18676,,7124,362,90,6603,205,128076,31757,1766,Europe
Georgia,Asia,3988368,1206,,17,,987,,202,,0,302,4,240473,60294,51,Europe
Eritrea,Africa,3551175,282,,,,225,,57,,0,79,,,,16,Africa
Uruguay,South America,3474956,1318,,37,,1079,,202,2,1,379,11,126956,36535,58,Americas
Mongolia,Asia,3283344,293,,,,260,,33,1,0,89,,38334,11675,10,WesternPacific
Bosnia and Herzegovina,Europe,3278650,13396,,384,,7042,,5970,,0,4086,117,147021,44842,1821,Europe
Armenia,Asia,2963811,39819,,772,,31556,,7491,,0,13435,260,171600,57898,2527,Europe
Jamaica,North America,2962478,958,30,12,,745,,201,,0,323,4,41840,14123,68,Americas
Albania,Europe,2877470,6016,,188,,3155,,2673,23,8,2091,65,38997,13553,929,Europe
Qatar,Asia,2807805,112092,,178,,108831,,3083,77,27,39922,63,511000,181993,1098,EasternMediterranean
Lithuania,Europe,2718121,2171,,81,,1656,,434,6,2,799,30,540784,198955,160,Europe
Namibia,Africa,2545264,2652,,15,,563,,2074,24,9,1042,6,29233,11485,815,Africa
Gambia,Africa,2422754,935,,16,,136,,783,,0,386,7,5183,2139,323,Africa
Botswana,Africa,2356075,804,,2,,63,,739,1,0,341,0.8,68423,29041,314,Africa
Gabon,Africa,2230563,7787,,51,,5609,,2127,11,5,3491,23,85369,38272,954,Africa
Lesotho,Africa,2143943,742,,23,,175,,544,,0,346,11,8771,4091,254,Africa
North Macedonia,Europe,2083365,11399,,517,,7480,,3402,3,1,5471,248,109946,52773,1633,Europe
Slovenia,Europe,2078968,2223,,125,,1909,,189,2,1,1069,60,135702,65274,91,Europe
Guinea-Bissau,Africa,1972277,2032,,27,,944,,1061,5,3,1030,14,1500,761,538,Africa
Latvia,Europe,1883936,1275,,32,,1070,,173,,0,677,17,207909,110359,92,Europe
Bahrain,Asia,1706669,42889,,156,,39945,,2788,41,24,25130,91,876700,513691,1634,EasternMediterranean
Equatorial Guinea,Africa,1407001,4821,,83,,2182,,2556,,0,3426,59,44356,31525,1817,Africa
Trinidad and Tobago,North America,1399950,210,,8,,135,,67,,0,150,6,9559,6828,48,Americas
Estonia,Europe,1326627,2124,,63,,1954,,107,,0,1601,47,122880,92626,81,Europe
Timor-Leste,Asia,1320812,25,,,,24,,1,,0,19,,4238,3209,1,South-EastAsia
Mauritius,Africa,1271985,344,,10,,334,,0,,0,270,8,205285,161389,0,Africa
Cyprus,Asia,1208238,1208,,19,,856,,333,,0,1000,16,216597,179267,276,Europe
Eswatini,Africa,1161348,2968,,55,,1476,,1437,5,4,2556,47,20784,17896,1237,Africa
Djibouti,Africa,989387,5330,,59,,5057,,214,,0,5387,60,59909,60552,216,EasternMediterranean
Fiji,Australia/Oceania,897095,27,,1,,18,,8,,0,30,1,6693,7461,9,WesternPacific
Réunion,Africa,895952,671,,5,,592,,74,3,3,749,6,35419,39532,83,
Comoros,Africa,871326,396,,7,,340,,49,,0,454,8,,,56,Africa
Guyana,South America,786936,538,,22,,189,,327,2,3,684,28,5165,6563,416,Americas
Bhutan,Asia,772443,105,,,,93,,12,,0,136,,54589,70671,16,South-EastAsia
Macao,Asia,650193,46,,,,46,,0,,0,71,,4071,6261,0,
Montenegro,Europe,628074,3480,,60,,2178,,1242,,0,5541,96,38427,61182,1977,Europe
Luxembourg,Europe,626952,7073,,119,,5750,,1204,9,14,11282,190,623994,995282,1920,Europe
Western Sahara,Africa,598682,10,,1,,8,,1,,0,17,2,,,2,Africa
Suriname,South America,587154,2096,,29,,1446,,621,9,15,3570,49,2785,4743,1058,Americas
Cabo Verde,Africa,556581,2734,,27,,2010,,697,,0,4912,49,61633,110735,1252,Africa
Maldives,Asia,541448,4680,,19,,2725,,1936,12,22,8643,35,85587,158071,3576,South-EastAsia
Malta,Europe,441663,946,,9,,670,,267,,0,2142,20,136713,309541,605,Europe
Brunei ,Asia,437893,141,,3,,138,,0,,0,322,7,41148,93968,0,
Guadeloupe,North America,400131,279,,14,,179,,86,,0,697,35,18476,46175,215,
Belize,North America,398312,86,,2,,31,,53,2,5,216,5,3679,9236,133,Americas
Bahamas,North America,393616,761,,14,,91,,656,1,3,1933,36,4814,12230,1667,Americas
Martinique,North America,375235,276,,15,,98,,163,1,3,736,40,12227,32585,434,
Iceland,Europe,341465,1930,,10,,1825,,95,,0,5652,29,149693,438385,278,Europe
French Guiana,South America,299385,8127,,47,,7240,,840,23,77,27146,157,41412,138324,2806,
Barbados,North America,287411,133,,7,,100,,26,,0,463,24,12233,42563,90,Americas
New Caledonia,Australia/Oceania,285769,22,,,,22,,0,,0,77,,11099,38839,0,
French Polynesia,Australia/Oceania,281072,64,,,,62,,2,,0,228,,5849,20810,7,
Mayotte,Africa,273419,3042,,39,,2738,,265,2,7,11126,143,13000,47546,969,
Sao Tome and Principe,Africa,219544,878,,15,,797,,66,,0,3999,68,3079,14025,301,Africa
Saint Lucia,North America,183712,25,,,,24,,1,,0,136,,3895,21202,5,Americas
Channel Islands,Europe,174022,597,,47,,533,,17,,0,3431,270,30721,176535,98,
Curaçao,North America,164161,31,,1,,28,,2,,0,189,6,1080,6579,12,
Grenada,North America,112576,24,,,,23,,1,,0,213,,6252,55536,9,Americas
St. Vincent Grenadines,North America,110976,56,,,,46,,10,,0,505,,2447,22050,90,
Aruba,North America,106812,263,,3,,114,,146,,0,2462,28,14047,131511,1367,
Seychelles,Africa,98408,126,,,,124,,2,,0,1280,,,,20,Africa
Antigua and Barbuda,North America,98010,92,,3,,76,,13,1,10,939,31,1500,15305,133,Americas
Isle of Man,Europe,85078,336,,24,,312,,0,,0,3949,282,8627,101401,0,
Andorra,Europe,77278,944,,52,,828,,64,1,13,12216,673,3750,48526,828,Europe
Dominica,North America,72004,18,,,,18,,0,,0,250,,1005,13958,0,Americas
Cayman Islands,North America,65798,203,,1,,202,,0,,0,3085,15,31108,472780,0,
